ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
4,conventional,6,smoc4,49.894,6868,4772,22556,27368,10296,2437
4,conventional,6,smoc5,30.249,768,3184,8436,6444,1720,2437
4,conventional,7,smoc1,50.724,3428,7496,15076,20528,12304,2437
4,conventional,7,smoc2,50.243,1976,5540,13436,22440,11068,2436
4,conventional,7,smoc3,50.61,8580,10788,24504,30132,18092,2438
4,conventional,7,smoc4,50.693,5420,9868,17984,24572,15500,2439
4,conventional,7,smoc5,28.654,4996,576,3940,1524,5220,2437
4,conventional,8,smoc1,51.368,5316,4412,7852,20388,11480,2440
4,conventional,8,smoc2,52.009,5708,6516,20940,25320,13384,2437
4,conventional,8,smoc3,51.715,2400,6880,14624,24176,13812,2435
4,conventional,8,smoc4,51.271,2984,4416,11880,24868,10920,2437
4,conventional,8,smoc5,29.121,3756,1548,2468,524,6128,2440
4,conventional,9,smoc1,51.248,10436,8872,19996,22972,16320,2438
4,conventional,9,smoc2,50.3,3152,5344,19148,24356,12948,2437
4,conventional,9,smoc3,50.592,6848,6588,26108,27224,14360,2437
4,conventional,9,smoc4,50.906,2372,3460,11368,23308,10944,2435
4,conventional,9,smoc5,29.599,964,3704,8832,2216,1008,2435
4,conventional,10,smoc1,50.566,8036,5908,11852,18816,12604,2440
4,conventional,10,smoc2,50.609,6356,6060,21236,25168,13284,2436
4,conventional,10,smoc3,50.656,5524,5268,12788,19060,11036,2440
4,conventional,10,smoc4,50.423,5872,4740,20324,26716,11836,2437
4,conventional,10,smoc5,29.517,2520,1996,9784,6924,2132,2436
4,distributed,1,smoc1,43.402,1416,4240,8580,18884,9104,2436
4,distributed,1,smoc2,42.867,664,5264,8700,17780,12136,2436
4,distributed,1,smoc3,42.053,5756,5264,21340,22060,7656,2433
4,distributed,1,smoc4,43.436,5548,4836,10272,23584,11980,2440
4,distributed,1,smoc5,25.472,4104,320,9888,3404,4716,2440
4,distributed,2,smoc1,42.316,10308,10060,26140,25988,17316,2436
4,distributed,2,smoc2,43.446,8108,7860,20868,25032,15248,2435
4,distributed,2,smoc3,42.361,244,5236,10488,18968,10672,2435
4,distributed,2,smoc4,42.898,4244,4404,5108,15224,11200,2441
4,distributed,2,smoc5,25.36,816,3700,5316,3332,1744,2434
4,distributed,3,smoc1,43.675,9416,8936,23272,25540,16700,2436
